area,x,y,distance
Resource_Phone,2697,0,500
Resource_IV1left,938,9237,1000
Resource_IV2right,5593,9237,1000
B4_Centre,5498,2096,1500
B1_Centre,1427,3427,1500
B3_Centre,4959,6077,1500
B2_Centre,1461,7149,1500
