,timestamp,x,y,z,yaw,roll,pitch,latency,student,session,success
0,1660778400.765,3650,-2795,882,4.994,-1.342,0.964,93.7,yellow,249,TRUE
1,1660778401.062,1816,160,3348,3.33,-1.42,-0.608,97.4,blue,249,TRUE
2,1660778403.697,1885,-218,750,5.083,-1.412,2.119,93.7,red,249,TRUE
3,1660778403.806,1952,643,3348,4.094,-1.342,-0.525,94.0,blue,249,TRUE
4,1660778403.9,3138,-2907,2526,5.28,-1.061,0.307,93.7,green,249,TRUE
5,1660778404.215,3577,-2754,882,4.256,-1.071,-2.425,78.1,yellow,249,TRUE
6,1660778404.386,1970,126,750,5.067,-1.34,2.21,93.8,red,249,TRUE
7,1660778404.496,2078,1086,3348,4.248,-1.385,-0.581,93.7,blue,249,TRUE
8,1660778404.589,3114,-2912,2526,5.284,-0.964,0.232,95.7,green,249,TRUE
9,1660778404.878,3577,-2754,882,4.232,-1.052,-2.401,89.2,yellow,249,TRUE
10,1660778405.061,2048,417,750,5.557,-1.354,1.992,97.0,red,249,TRUE
11,1660778405.16,2204,1469,3348,4.263,-1.371,-0.496,92.8,blue,249,TRUE
12,1660778405.253,3114,-2912,2526,5.296,-0.932,0.255,93.8,green,249,TRUE
13,1660778405.612,3577,-2754,882,4.276,-1.066,-2.401,83.4,yellow,249,TRUE
14,1660778407.532,2196,1228,750,5.285,-1.376,1.947,93.8,red,249,TRUE
15,1660778407.626,2273,1859,3348,3.492,-1.39,-0.467,88.0,blue,249,TRUE
16,1660778409.182,2296,1681,750,4.743,-1.341,2.29,88.8,red,249,TRUE
17,1660778409.271,2438,2321,3348,3.162,-1.394,-0.958,78.2,blue,249,TRUE
18,1660778409.349,3074,-2925,2526,5.108,-1.032,0.197,78.2,green,249,TRUE
19,1660778410.902,2385,2124,750,4.728,-1.373,2.211,93.7,red,249,TRUE
20,1660778411.011,2642,2696,3348,3.315,-1.382,-0.744,78.4,blue,249,TRUE
21,1660778411.089,3058,-2916,2526,5.162,-0.953,0.087,79.6,green,249,TRUE
22,1660778411.398,3470,-2726,882,3.951,-1.17,-3.083,79.3,yellow,249,TRUE
23,1660778411.572,2480,2512,750,4.788,-1.348,2.087,96.2,red,249,TRUE
24,1660778411.669,2853,3102,3348,3.318,-1.39,-0.83,83.6,blue,249,TRUE
25,1660778411.753,3000,-2879,2526,5.163,-0.952,0.088,93.6,green,249,TRUE
26,1660778413.061,3470,-2726,882,4.791,-1.352,-0.357,79.8,yellow,249,TRUE
27,1660778413.243,2546,2804,750,4.182,-1.326,2.182,94.1,red,249,TRUE
28,1660778413.337,3014,3465,3348,3.35,-1.392,-0.774,93.8,blue,249,TRUE
29,1660778413.431,2934,-2856,2526,5.183,-0.968,0.106,78.0,green,249,TRUE
30,1660778414.967,2586,3064,750,3.769,-1.331,2.111,93.7,red,249,TRUE
31,1660778415.076,3123,3683,3348,3.295,-1.385,-0.784,83.1,blue,249,TRUE
32,1660778415.161,2843,-2859,2526,5.183,-0.951,0.07,86.0,green,249,TRUE
33,1660778416.721,2657,3326,750,3.654,-1.331,2.092,95.7,red,249,TRUE
34,1660778416.926,2791,-2825,2526,5.181,-0.946,0.071,79.6,green,249,TRUE
35,1660778418.401,2644,3495,750,3.604,-1.331,2.092,93.7,red,249,TRUE
36,1660778420.17,2630,3500,750,3.605,-1.332,2.085,93.4,red,249,TRUE
37,1660778420.263,3152,3860,3348,3.277,-1.395,-0.916,93.7,blue,249,TRUE
38,1660778420.357,2767,-2821,2526,5.178,-0.939,0.153,93.6,green,249,TRUE
39,1660778420.674,3455,-2730,882,4.547,-1.356,-2.325,93.2,yellow,249,TRUE
40,1660778420.861,2619,3515,750,3.605,-1.332,2.083,94.8,red,249,TRUE
41,1660778420.959,3179,3961,3348,3.278,-1.393,-0.905,82.0,blue,249,TRUE
42,1660778421.041,2726,-2819,2526,5.198,-0.879,0.159,93.8,green,249,TRUE
43,1660778421.32,3450,-2734,882,4.627,-1.385,-2.239,93.7,yellow,249,TRUE
44,1660778421.507,2597,3518,750,3.605,-1.333,2.08,93.7,red,249,TRUE
45,1660778421.601,3229,4023,3348,3.247,-1.392,-0.887,97.3,blue,249,TRUE
46,1660778421.7,2690,-2810,2526,5.19,-0.863,0.161,82.1,green,249,TRUE
47,1660778421.993,3464,-2722,882,4.621,-1.505,-0.062,93.8,yellow,249,TRUE
48,1660778422.186,2606,3442,750,3.606,-1.332,2.081,95.3,red,249,TRUE
49,1660778422.281,3237,4045,3348,3.256,-1.386,-0.794,78.5,blue,249,TRUE
50,1660778422.36,2690,-2810,2526,5.2,-0.849,0.165,78.1,green,249,TRUE
51,1660778422.641,3484,-2722,882,4.566,-1.504,-3.075,80.8,yellow,249,TRUE
52,1660778422.817,2561,3410,750,3.606,-1.332,2.082,93.7,red,249,TRUE
53,1660778422.911,3179,3975,3348,3.279,-1.378,-0.793,82.7,blue,249,TRUE
54,1660778422.994,2689,-2831,2526,5.197,-0.869,0.142,78.0,green,249,TRUE
55,1660778423.291,3542,-2717,882,4.548,-1.504,-0.064,93.8,yellow,249,TRUE
56,1660778423.478,2474,3378,750,3.604,-1.334,2.07,93.7,red,249,TRUE
57,1660778423.572,3156,4005,3348,3.235,-1.381,-0.783,97.5,blue,249,TRUE
58,1660778423.672,2674,-2816,2526,5.198,-0.882,0.149,82.4,green,249,TRUE
59,1660778423.961,3518,-2705,882,4.539,-1.5,-0.063,79.5,yellow,249,TRUE
60,1660778424.15,2465,3357,750,3.595,-1.336,2.061,104.3,red,249,TRUE
61,1660778424.254,3219,4039,3348,3.21,-1.388,-0.834,93.7,blue,249,TRUE
62,1660778424.348,2716,-2801,2526,5.2,-0.875,0.156,78.2,green,249,TRUE
63,1660778424.645,3527,-2689,882,4.533,-1.496,-0.063,87.3,yellow,249,TRUE
64,1660778424.826,2473,3359,750,3.593,-1.336,2.062,93.6,red,249,TRUE
65,1660778424.919,3164,3998,3348,3.16,-1.388,-0.875,91.8,blue,249,TRUE
66,1660778425.011,2746,-2788,2526,5.196,-0.87,0.139,94.8,green,249,TRUE
67,1660778425.31,3557,-2682,882,4.523,-1.499,-0.068,78.4,yellow,249,TRUE
68,1660778425.482,2487,3357,750,3.593,-1.337,2.052,93.7,red,249,TRUE
69,1660778425.576,3173,4040,3348,3.139,-1.388,-0.842,82.9,blue,249,TRUE
70,1660778425.661,2729,-2774,2526,5.196,-0.869,0.142,77.8,green,249,TRUE
71,1660778425.942,3583,-2661,882,4.497,-1.487,-0.079,85.3,yellow,249,TRUE
72,1660778426.121,2509,3354,750,3.584,-1.338,2.055,90.9,red,249,TRUE
73,1660778426.212,3175,4050,3348,3.135,-1.388,-0.854,93.8,blue,249,TRUE
74,1660778426.306,2727,-2789,2526,5.195,-0.868,0.141,93.7,green,249,TRUE
75,1660778426.65,3633,-2682,882,4.502,-1.494,-0.075,91.4,yellow,249,TRUE
76,1660778426.882,2492,3357,750,3.567,-1.337,2.076,100.2,red,249,TRUE
77,1660778426.982,3193,4073,3348,3.162,-1.39,-0.815,78.1,blue,249,TRUE
78,1660778427.06,2705,-2802,2526,5.2,-0.877,0.143,78.1,green,249,TRUE
79,1660778427.348,3718,-2703,882,4.686,-1.503,3.115,94.1,yellow,249,TRUE
80,1660778427.535,2452,3295,750,3.564,-1.338,2.076,93.6,red,249,TRUE
81,1660778427.629,3182,4091,3348,3.211,-1.382,-0.81,93.7,blue,249,TRUE
82,1660778427.723,2794,-2780,2526,5.203,-0.879,0.154,95.0,green,249,TRUE
83,1660778428.06,3664,-2699,882,4.947,-1.416,-2.726,93.7,yellow,249,TRUE
84,1660778428.264,2430,3271,750,3.564,-1.338,2.069,93.4,red,249,TRUE
85,1660778428.358,3133,4025,3348,3.257,-1.369,-0.834,94.1,blue,249,TRUE
86,1660778428.452,2802,-2790,2526,5.201,-0.874,0.14,93.7,green,249,TRUE
87,1660778428.787,3607,-2692,882,5.054,-1.542,-3.131,93.8,yellow,249,TRUE
88,1660778428.984,2404,3245,750,3.564,-1.34,2.066,93.7,red,249,TRUE
89,1660778429.078,3107,3992,3348,3.277,-1.376,-0.832,97.1,blue,249,TRUE
90,1660778429.178,2784,-2809,2526,5.205,-0.864,0.148,83.6,green,249,TRUE
91,1660778429.48,3563,-2691,882,5.051,-1.529,-3.121,93.8,yellow,249,TRUE
92,1660778429.807,3112,3997,3348,3.255,-1.378,-0.942,93.7,blue,249,TRUE
93,1660778429.901,2762,-2817,2526,5.207,-0.863,0.147,83.2,green,249,TRUE
94,1660778430.443,2375,3229,750,3.562,-1.34,2.066,93.7,red,249,TRUE
95,1660778430.537,3048,3943,3348,3.311,-1.373,-0.688,93.7,blue,249,TRUE
96,1660778430.63,2763,-2821,2526,5.207,-0.867,0.148,99.2,green,249,TRUE
97,1660778430.917,3525,-2686,882,4.732,-1.328,-2.959,83.2,yellow,249,TRUE
98,1660778431.095,2388,3237,750,3.556,-1.342,2.061,97.2,red,249,TRUE
99,1660778431.193,3066,3991,3348,3.279,-1.378,-0.672,83.8,blue,249,TRUE
100,1660778431.621,3483,-2694,882,5.025,-1.294,0.911,93.4,yellow,249,TRUE
101,1660778431.824,2461,3270,750,3.557,-1.343,2.053,93.8,red,249,TRUE
102,1660778431.917,3055,3984,3348,3.179,-1.396,-0.781,84.1,blue,249,TRUE
103,1660778432.001,2753,-2780,2526,5.202,-0.865,0.14,93.7,green,249,TRUE
104,1660778432.287,3510,-2700,882,4.963,-1.157,0.829,93.7,yellow,249,TRUE
105,1660778432.474,2467,3279,750,3.557,-1.342,2.063,93.7,red,249,TRUE
106,1660778432.568,3043,3897,3348,3.182,-1.393,-0.724,78.1,blue,249,TRUE
107,1660778432.955,3520,-2703,882,4.915,-1.166,0.828,94.3,yellow,249,TRUE
108,1660778433.377,2739,-2775,2526,5.204,-0.869,0.142,93.8,green,249,TRUE
109,1660778433.682,3545,-2709,882,4.883,-1.175,0.863,96.5,yellow,249,TRUE
110,1660778433.872,2383,3213,750,3.534,-1.343,2.065,95.9,red,249,TRUE
111,1660778433.97,3039,3916,3348,3.238,-1.374,-0.853,79.4,blue,249,TRUE
112,1660778434.049,2719,-2789,2526,5.207,-0.868,0.147,78.2,green,249,TRUE
113,1660778434.34,3567,-2714,882,4.867,-1.172,0.855,93.7,yellow,249,TRUE
114,1660778434.527,2372,3204,750,3.521,-1.342,2.09,93.5,red,249,TRUE
115,1660778434.621,2979,3844,3348,3.254,-1.37,-0.832,104.7,blue,249,TRUE
116,1660778434.726,2675,-2825,2526,5.209,-0.866,0.149,78.3,green,249,TRUE
117,1660778435.019,3607,-2726,882,4.868,-1.194,0.837,93.8,yellow,249,TRUE
118,1660778435.21,2396,3194,750,3.505,-1.34,2.106,94.0,red,249,TRUE
119,1660778435.304,2978,3829,3348,3.219,-1.378,-0.854,93.7,blue,249,TRUE
120,1660778435.398,2679,-2816,2526,5.209,-0.867,0.151,93.8,green,249,TRUE
121,1660778435.685,3626,-2725,882,4.881,-1.168,0.825,93.7,yellow,249,TRUE
122,1660778435.935,2425,3221,750,3.503,-1.34,2.109,86.4,red,249,TRUE
123,1660778436.021,2945,3782,3348,3.212,-1.385,-0.829,94.1,blue,249,TRUE
124,1660778436.115,2704,-2804,2526,5.21,-0.863,0.148,87.5,green,249,TRUE
125,1660778436.437,3682,-2725,882,4.871,-1.18,0.854,93.8,yellow,249,TRUE
126,1660778436.625,2450,3241,750,3.503,-1.34,2.105,87.2,red,249,TRUE
127,1660778436.712,2997,3865,3348,3.24,-1.379,-0.782,93.7,blue,249,TRUE
128,1660778437.146,3737,-2726,882,4.869,-1.173,0.831,98.2,yellow,249,TRUE
129,1660778437.462,3019,3930,3348,3.252,-1.379,-0.806,94.0,blue,249,TRUE
130,1660778437.556,2686,-2814,2526,5.209,-0.857,0.146,93.8,green,249,TRUE
131,1660778439.054,2478,3268,750,3.5,-1.338,2.109,93.8,red,249,TRUE
132,1660778439.261,2643,-2827,2526,5.209,-0.858,0.147,93.7,green,249,TRUE
133,1660778439.574,3795,-2729,882,4.871,-1.172,0.841,95.0,yellow,249,TRUE
134,1660778439.765,2450,3234,750,3.5,-1.337,2.11,93.7,red,249,TRUE
135,1660778439.859,2890,3858,3348,3.444,-1.406,-0.682,95.9,blue,249,TRUE
136,1660778439.956,2634,-2825,2526,5.207,-0.862,0.146,83.5,green,249,TRUE
137,1660778440.268,3845,-2726,882,4.872,-1.178,0.874,93.7,yellow,249,TRUE
138,1660778440.456,2495,3249,750,3.498,-1.341,2.086,93.7,red,249,TRUE
139,1660778440.549,2930,3924,3348,3.615,-1.39,-0.695,78.0,blue,249,TRUE
140,1660778440.628,2640,-2819,2526,5.207,-0.863,0.147,94.7,green,249,TRUE
141,1660778440.925,3863,-2736,882,4.88,-1.169,0.857,99.7,yellow,249,TRUE
142,1660778441.12,2497,3254,750,3.497,-1.343,2.087,94.5,red,249,TRUE
143,1660778441.214,2930,3962,3348,3.355,-1.354,-0.629,93.6,blue,249,TRUE
144,1660778441.308,2587,-2835,2526,5.207,-0.863,0.147,78.1,green,249,TRUE
145,1660778441.606,3925,-2730,882,4.884,-1.161,0.852,95.2,yellow,249,TRUE
146,1660778441.801,2498,3248,750,3.498,-1.343,2.086,93.7,red,249,TRUE
147,1660778441.894,2943,3955,3348,3.123,-1.39,-0.766,100.3,blue,249,TRUE
148,1660778441.995,2580,-2840,2526,5.207,-0.863,0.147,93.8,green,249,TRUE
149,1660778442.306,3921,-2731,882,4.881,-1.162,0.836,93.7,yellow,249,TRUE
150,1660778442.494,2500,3249,750,3.497,-1.343,2.083,93.7,red,249,TRUE
151,1660778442.587,2982,4064,3348,2.991,-1.406,-0.922,78.7,blue,249,TRUE
152,1660778442.667,2608,-2833,2526,5.213,-0.861,0.157,85.4,green,249,TRUE
153,1660778444.151,2553,3283,750,3.496,-1.343,2.086,87.6,red,249,TRUE
154,1660778444.348,2530,-2861,2526,5.213,-0.858,0.159,78.1,green,249,TRUE
155,1660778445.895,2554,3304,750,4.054,-1.23,1.892,101.2,red,249,TRUE
156,1660778446.012,2871,4019,3348,4.688,-1.307,-0.55,93.7,blue,249,TRUE
157,1660778446.106,2520,-2871,2526,5.214,-0.863,0.154,94.3,green,249,TRUE
158,1660778447.587,2603,3431,750,5.063,-1.299,1.671,94.2,red,249,TRUE
159,1660778447.806,2602,-2849,2526,5.215,-0.858,0.157,109.3,green,249,TRUE
160,1660778448.156,3935,-2733,882,4.868,-1.16,0.846,96.2,yellow,249,TRUE
161,1660778448.347,2620,3595,750,5.512,-1.355,1.903,94.0,red,249,TRUE
162,1660778449.835,3941,-2737,882,4.876,-1.151,0.848,94.0,yellow,249,TRUE
163,1660778450.255,2612,-2848,2526,5.217,-0.854,0.149,78.1,green,249,TRUE
164,1660778450.567,3946,-2747,882,4.879,-1.145,0.846,98.6,yellow,249,TRUE
