,timestamp,x,y,z,yaw,roll,pitch,latency,student,session,success
0,1660010898.304,2077,-1116,2526,2.569,-0.093,-0.022,76.0,green,221,TRUE
1,1660010898.531,1083,947,3350,5.604,-1.453,3.051,90.0,blue,221,TRUE
2,1660010899.756,2083,-1113,2526,2.569,-0.093,-0.022,87.0,green,221,TRUE
3,1660010900.01,1179,1297,3350,3.947,-1.401,3.097,89.2,blue,221,TRUE
4,1660010900.158,2762,-1090,882,2.554,-0.014,-0.045,91.3,yellow,221,TRUE
5,1660010900.262,2079,-1116,2526,2.569,-0.093,-0.022,76.6,green,221,TRUE
6,1660010901.442,1278,1581,3350,3.923,-1.394,2.887,91.3,blue,221,TRUE
7,1660010901.603,2804,-1042,882,2.554,-0.014,-0.045,95.0,yellow,221,TRUE
8,1660010901.7,2100,-1099,2526,2.569,-0.093,-0.022,89.4,green,221,TRUE
9,1660010902.996,1350,1756,3350,3.894,-1.385,2.917,90.8,blue,221,TRUE
10,1660010904.265,2074,-1120,2526,2.569,-0.093,-0.022,88.2,green,221,TRUE
11,1660010905.576,1543,2001,3350,3.727,-1.488,-3.123,90.8,blue,221,TRUE
12,1660010906.811,2068,-1127,2526,2.569,-0.093,-0.022,83.9,green,221,TRUE
13,1660010907.017,1761,2227,3350,3.695,-1.497,-3.114,89.6,blue,221,TRUE
14,1660010908.269,2069,-1128,2526,2.569,-0.093,-0.022,91.0,green,221,TRUE
15,1660010908.48,1983,2501,3350,3.656,-1.5,-3.118,90.3,blue,221,TRUE
16,1660010909.731,2066,-1130,2526,2.569,-0.093,-0.022,74.8,green,221,TRUE
17,1660010909.926,2238,2734,3350,3.639,-1.5,-3.119,91.5,blue,221,TRUE
18,1660010910.079,2808,-1042,882,2.554,-0.014,-0.045,88.7,yellow,221,TRUE
19,1660010910.17,2091,-1110,2526,2.569,-0.093,-0.022,88.2,green,221,TRUE
20,1660010910.3,2448,2958,3350,3.642,-1.499,-3.119,92.9,blue,221,TRUE
21,1660010911.484,2094,-1107,2526,2.569,-0.093,-0.022,71.0,green,221,TRUE
22,1660010911.678,2620,3166,3350,3.624,-1.503,-3.122,92.4,blue,221,TRUE
23,1660010923.692,2049,-1152,2526,2.569,-0.092,-0.022,78.6,green,221,TRUE
24,1660010924.976,2826,3715,3350,3.642,-1.51,-3.127,90.1,blue,221,TRUE
25,1660010925.136,2777,-1003,882,2.554,-0.012,-0.045,95.6,yellow,221,TRUE
26,1660010925.232,2047,-1150,2526,2.569,-0.092,-0.022,75.9,green,221,TRUE
27,1660010925.489,2808,3719,3350,3.642,-1.511,-3.127,88.5,blue,221,TRUE
28,1660010925.581,2819,-1047,882,2.554,-0.012,-0.045,88.6,yellow,221,TRUE
29,1660010925.67,2037,-1152,2526,2.569,-0.092,-0.022,74.3,green,221,TRUE
30,1660010925.865,2815,3729,3350,3.647,-1.509,-3.127,89.4,blue,221,TRUE
31,1660010927.062,2034,-1156,2526,2.569,-0.092,-0.022,86.0,green,221,TRUE
32,1660010927.332,2830,3736,3350,3.65,-1.506,-3.124,90.5,blue,221,TRUE
33,1660010927.481,2822,-1054,882,2.554,-0.012,-0.045,91.2,yellow,221,TRUE
34,1660010927.575,2034,-1156,2526,2.569,-0.092,-0.022,86.9,green,221,TRUE
35,1660010927.781,2815,3692,3350,3.652,-1.505,-3.124,76.7,blue,221,TRUE
36,1660010927.86,2827,-1059,882,2.554,-0.012,-0.045,88.7,yellow,221,TRUE
37,1660010927.95,2031,-1158,2526,2.569,-0.092,-0.022,74.4,green,221,TRUE
38,1660010929.111,2820,3679,3350,3.644,-1.503,-3.124,88.4,blue,221,TRUE
39,1660010929.264,2822,-1057,882,2.554,-0.012,-0.045,86.5,yellow,221,TRUE
40,1660010929.352,2060,-1136,2526,2.569,-0.092,-0.022,87.9,green,221,TRUE
41,1660010929.593,2789,3626,3350,3.646,-1.504,-3.127,87.7,blue,221,TRUE
42,1660010929.694,2826,-1065,882,2.554,-0.012,-0.045,92.6,yellow,221,TRUE
43,1660010929.8,2057,-1134,2526,2.569,-0.092,-0.022,77.4,green,221,TRUE
44,1660010929.956,2754,3572,3350,3.646,-1.506,-3.127,87.3,blue,221,TRUE
45,1660010931.173,2061,-1131,2526,2.569,-0.092,-0.022,73.7,green,221,TRUE
46,1660010931.398,2753,3575,3350,3.64,-1.506,-3.127,89.2,blue,221,TRUE
47,1660010931.546,2828,-1063,882,2.554,-0.012,-0.045,90.8,yellow,221,TRUE
48,1660010931.639,2080,-1112,2526,2.569,-0.092,-0.022,87.0,green,221,TRUE
49,1660010931.83,2726,3554,3350,3.646,-1.504,-3.127,90.8,blue,221,TRUE
50,1660010931.923,2828,-1068,882,2.554,-0.012,-0.045,88.5,yellow,221,TRUE
51,1660010932.017,2077,-1112,2526,2.569,-0.092,-0.022,85.1,green,221,TRUE
52,1660010932.206,2724,3551,3350,3.639,-1.505,-3.127,92.2,blue,221,TRUE
53,1660010932.328,2835,-1072,882,2.554,-0.012,-0.045,92.7,yellow,221,TRUE
54,1660010932.422,2089,-1097,2526,2.569,-0.092,-0.022,87.4,green,221,TRUE
55,1660010932.603,2698,3525,3350,3.642,-1.506,-3.129,89.1,blue,221,TRUE
56,1660010932.72,2840,-1078,882,2.554,-0.012,-0.045,91.2,yellow,221,TRUE
