,timestamp,x,y,z,yaw,roll,pitch,latency,student,session,success
0,1660702543.014,248,-1785,750,0.125,-1.364,1.452,83.4,red,245,TRUE
1,1660702543.099,1206,-1417,3348,4.938,-1.441,1.131,87.7,blue,245,TRUE
2,1660702545.797,375,-1596,750,4.585,-1.428,1.115,89.9,red,245,TRUE
3,1660702545.893,1256,-1180,3348,0.361,-1.467,0.061,84.1,blue,245,TRUE
4,1660702547.432,3544,-2772,882,4.952,-1.078,0.152,86.0,yellow,245,TRUE
5,1660702547.611,565,-1328,750,6.184,-1.312,1.284,88.1,red,245,TRUE
6,1660702547.7,1310,-894,3348,5.761,-1.463,0.104,88.6,blue,245,TRUE
7,1660702547.797,3052,-2509,2526,5.471,-1.259,-0.176,82.3,green,245,TRUE
8,1660702548.167,3517,-2762,882,4.947,-1.092,0.156,89.4,yellow,245,TRUE
9,1660702548.363,750,-1000,750,5.803,-1.408,0.765,90.0,red,245,TRUE
10,1660702548.454,1275,-528,3348,5.258,-1.429,1.146,89.0,blue,245,TRUE
11,1660702548.546,3132,-2539,2526,5.463,-1.268,-0.156,103.7,green,245,TRUE
12,1660702548.952,3510,-2753,882,4.946,-1.076,0.165,91.1,yellow,245,TRUE
13,1660702549.137,948,-667,750,5.976,-1.384,1.3,89.5,red,245,TRUE
14,1660702549.24,1505,-180,3348,5.269,-1.424,1.514,90.4,blue,245,TRUE
15,1660702550.787,3536,-2765,882,4.925,-0.892,0.044,98.1,yellow,245,TRUE
16,1660702550.976,1193,-250,750,4.459,-1.441,0.742,89.6,red,245,TRUE
17,1660702551.068,1689,173,3348,5.615,-1.36,1.037,88.3,blue,245,TRUE
18,1660702552.805,1459,175,750,4.044,-1.464,0.074,88.2,red,245,TRUE
19,1660702552.895,1830,588,3348,5.03,-1.497,0.057,89.0,blue,245,TRUE
20,1660702552.987,3235,-2590,2526,5.468,-1.288,-0.151,87.5,green,245,TRUE
21,1660702553.39,3602,-2757,882,4.975,-0.912,0.181,89.8,yellow,245,TRUE
22,1660702553.573,1731,587,750,4.218,-1.431,1.626,87.8,red,245,TRUE
23,1660702553.663,1994,1033,3348,4.981,-1.437,1.014,87.3,blue,245,TRUE
24,1660702555.218,3633,-2773,882,4.962,-0.886,0.167,83.6,yellow,245,TRUE
25,1660702555.394,1954,1028,750,4.116,-1.415,0.99,88.2,red,245,TRUE
26,1660702555.484,2148,1441,3348,4.692,-1.426,1.131,89.1,blue,245,TRUE
27,1660702557.045,3684,-2776,882,4.957,-0.885,0.134,85.1,yellow,245,TRUE
28,1660702557.221,2196,1484,750,4.223,-1.391,1.191,88.6,red,245,TRUE
29,1660702557.311,2295,1834,3348,5.035,-1.434,1.326,89.6,blue,245,TRUE
30,1660702558.78,3708,-2771,882,4.957,-0.879,0.135,84.3,yellow,245,TRUE
31,1660702559.941,2392,1928,750,4.216,-1.401,1.357,89.0,red,245,TRUE
32,1660702560.032,2451,2213,3348,5.105,-1.446,1.453,88.1,blue,245,TRUE
33,1660702561.573,3733,-2790,882,4.951,-0.887,0.129,85.0,yellow,245,TRUE
34,1660702561.752,2501,2282,750,4.212,-1.413,1.619,88.7,red,245,TRUE
35,1660702561.841,2517,2435,3348,5.1,-1.434,1.245,90.4,blue,245,TRUE
36,1660702563.404,3818,-2806,882,4.951,-0.89,0.119,85.4,yellow,245,TRUE
37,1660702563.581,2620,2581,750,4.29,-1.398,1.466,89.7,red,245,TRUE
38,1660702563.671,2608,2565,3348,5.107,-1.44,1.246,89.2,blue,245,TRUE
39,1660702565.222,3888,-2810,882,4.952,-0.885,0.12,83.1,yellow,245,TRUE
40,1660702565.397,2733,2823,750,4.249,-1.378,1.233,89.8,red,245,TRUE
