,timestamp,x,y,z,yaw,roll,pitch,latency,student,session,success
0,1660097283.437,1013,-977,750,4.288,-1.463,-0.079,89.4,red,227,TRUE
1,1660097283.532,3369,-1348,882,6.254,0.002,0.038,86.2,yellow,227,TRUE
2,1660097283.621,2461,-1985,2526,5.309,-0.475,0.016,85.7,green,227,TRUE
3,1660097283.892,1210,-670,750,4.595,-1.46,-0.062,85.9,red,227,TRUE
4,1660097283.979,3403,-1372,882,6.254,0.002,0.038,105.3,yellow,227,TRUE
5,1660097284.085,2185,-2266,2526,5.305,-0.49,0.016,90.5,green,227,TRUE
6,1660097284.358,1376,-381,750,4.502,-1.419,-0.767,87.5,red,227,TRUE
7,1660097284.446,3410,-1376,882,6.254,0.002,0.038,91.5,yellow,227,TRUE
8,1660097284.55,2242,-2287,2526,5.31,-0.49,0.019,92.5,green,227,TRUE
9,1660097285.879,1576,-68,750,4.225,-1.443,-0.695,88.8,red,227,TRUE
10,1660097285.975,3410,-1375,882,6.254,0.002,0.038,83.1,yellow,227,TRUE
11,1660097286.059,2288,-2347,2526,5.313,-0.48,0.022,89.6,green,227,TRUE
12,1660097287.369,1766,227,750,4.277,-1.418,-0.741,89.3,red,227,TRUE
13,1660097287.466,3457,-1402,882,6.254,0.002,0.038,83.3,yellow,227,TRUE
14,1660097287.551,2409,-2378,2526,5.315,-0.499,0.016,87.5,green,227,TRUE
15,1660097287.854,1947,539,750,4.193,-1.439,-0.995,85.7,red,227,TRUE
16,1660097287.939,3463,-1438,882,6.254,0.002,0.038,90.7,yellow,227,TRUE
17,1660097288.031,2432,-2457,2526,5.317,-0.495,0.021,89.7,green,227,TRUE
18,1660097289.355,2067,827,750,2.943,-1.463,-0.098,92.3,red,227,TRUE
19,1660097289.457,3437,-1417,882,6.254,0.002,0.038,95.4,yellow,227,TRUE
20,1660097289.553,2403,-2440,2526,5.298,-0.525,0.021,87.6,green,227,TRUE
