,timestamp,x,y,z,yaw,roll,pitch,latency,student,session,success
0,1660716934.673,1178,-1164,750,3.898,-1.469,3.04,83.8,red,248,TRUE
1,1660716934.758,1777,-789,3348,4.182,-1.383,2.93,88.8,blue,248,TRUE
2,1660716936.377,1305,-927,750,4.847,-1.404,1.329,84.7,red,248,TRUE
3,1660716936.464,1866,-498,3348,5.31,-1.32,2.86,87.7,blue,248,TRUE
4,1660716937.031,1465,-627,750,5.083,-1.476,0.082,88.8,red,248,TRUE
5,1660716937.134,1970,-144,3348,5.528,-1.379,3.1,90.7,blue,248,TRUE
6,1660716937.689,1610,-275,750,5.156,-1.398,0.922,89.1,red,248,TRUE
7,1660716937.792,2107,253,3348,5.155,-1.367,2.674,90.8,blue,248,TRUE
8,1660716938.348,1771,98,750,4.844,-1.393,1.046,88.8,red,248,TRUE
9,1660716938.437,2279,701,3348,4.95,-1.367,2.829,89.3,blue,248,TRUE
10,1660716939.008,1920,536,750,4.914,-1.401,1.196,87.7,red,248,TRUE
11,1660716939.097,2398,1170,3348,4.812,-1.302,2.825,88.8,blue,248,TRUE
12,1660716939.216,3395,-2489,2526,5.263,-1.247,-0.127,89.7,green,248,TRUE
13,1660716939.71,2059,969,750,4.347,-1.417,1.439,88.7,red,248,TRUE
14,1660716939.813,2537,1620,3348,4.241,-1.317,2.826,90.8,blue,248,TRUE
15,1660716939.905,3436,-2487,2526,5.264,-1.23,-0.12,89.0,green,248,TRUE
16,1660716940.429,2185,1365,750,4.207,-1.409,1.941,88.7,red,248,TRUE
17,1660716940.52,2664,2038,3348,4.312,-1.4,2.613,88.3,blue,248,TRUE
18,1660716940.611,3460,-2498,2526,5.262,-1.223,-0.11,86.8,green,248,TRUE
19,1660716941.088,2328,1733,750,4.32,-1.404,1.653,88.8,red,248,TRUE
20,1660716941.19,2806,2377,3348,4.625,-1.466,3.105,90.7,blue,248,TRUE
21,1660716941.295,3472,-2507,2526,5.26,-1.209,-0.103,92.5,green,248,TRUE
22,1660716941.85,2411,2035,750,4.335,-1.41,1.641,90.8,red,248,TRUE
23,1660716941.942,2902,2652,3348,4.585,-1.394,2.559,89.2,blue,248,TRUE
24,1660716942.032,3489,-2511,2526,5.261,-1.21,-0.106,88.8,green,248,TRUE
