,timestamp,x,y,z,yaw,roll,pitch,latency,student,session,success
0,1660626592.981,2886,-1071,882,4.813,0.038,0.025,87.0,yellow,241,TRUE
1,1660626593.187,203,-1412,750,5.365,-1.41,-0.327,91.0,red,241,TRUE
2,1660626594.636,2891,-1073,882,4.813,0.038,0.025,88.0,yellow,241,TRUE
3,1660626594.822,459,-1186,750,0.963,-1.361,-1.895,83.2,red,241,TRUE
4,1660626596.35,2885,-1072,882,4.813,0.038,0.025,97.6,yellow,241,TRUE
5,1660626596.537,708,-1029,750,3.743,-1.407,-0.413,90.5,red,241,TRUE
6,1660626598.038,2889,-1075,882,4.813,0.038,0.025,98.8,yellow,241,TRUE
7,1660626598.231,941,-847,750,4.496,-1.38,-0.128,87.9,red,241,TRUE
8,1660626600.939,1105,-546,750,4.788,-1.463,0.065,94.8,red,241,TRUE
9,1660626603.445,2889,-1084,882,4.813,0.038,0.025,95.1,yellow,241,TRUE
10,1660626606.228,1534,3,750,4.536,-1.482,0.007,90.7,red,241,TRUE
11,1660626607.72,2889,-1082,882,4.813,0.038,0.025,82.8,yellow,241,TRUE
12,1660626607.907,1665,313,750,4.623,-1.456,-0.008,91.4,red,241,TRUE
13,1660626610.381,2885,-1073,882,4.813,0.038,0.025,95.4,yellow,241,TRUE
14,1660626610.577,1895,588,750,4.525,-1.457,-0.061,97.7,red,241,TRUE
15,1660626612.02,2881,-1068,882,4.813,0.038,0.025,84.4,yellow,241,TRUE
16,1660626612.199,2016,871,750,4.453,-1.432,-0.314,86.7,red,241,TRUE
17,1660626612.36,2505,-1142,2526,4.829,-0.049,-0.099,107.8,green,241,TRUE
18,1660626612.636,2886,-1070,882,4.813,0.038,0.025,87.1,yellow,241,TRUE
19,1660626612.827,2117,1147,750,4.452,-1.426,-0.248,91.6,red,241,TRUE
20,1660626612.948,2494,-1136,2526,4.829,-0.049,-0.099,108.1,green,241,TRUE
21,1660626613.224,2906,-1085,882,4.813,0.038,0.025,91.7,yellow,241,TRUE
22,1660626613.446,2238,1464,750,4.417,-1.418,-0.165,90.6,red,241,TRUE
23,1660626614.842,2897,-1074,882,4.813,0.038,0.025,98.3,yellow,241,TRUE
24,1660626615.03,2306,1591,750,4.372,-1.392,-0.243,91.2,red,241,TRUE
25,1660626616.68,2277,1625,750,4.37,-1.398,-0.249,86.9,red,241,TRUE
26,1660626618.122,2887,-1070,882,4.813,0.038,0.025,95.7,yellow,241,TRUE
27,1660626618.309,2283,1749,750,4.399,-1.386,-0.064,89.0,red,241,TRUE
28,1660626618.716,2878,-1053,882,4.813,0.038,0.025,89.2,yellow,241,TRUE
29,1660626618.908,2265,1795,750,4.38,-1.388,-0.113,92.1,red,241,TRUE
30,1660626619.197,2885,-1062,882,4.813,0.038,0.025,92.0,yellow,241,TRUE
31,1660626619.408,2303,1783,750,4.375,-1.384,-0.161,92.1,red,241,TRUE
32,1660626619.682,2888,-1066,882,4.813,0.038,0.025,89.4,yellow,241,TRUE
33,1660626619.863,2293,1750,750,4.396,-1.388,-0.183,88.6,red,241,TRUE
34,1660626620.237,2894,-1071,882,4.813,0.038,0.025,91.7,yellow,241,TRUE
35,1660626620.447,2327,1775,750,4.393,-1.39,-0.212,92.3,red,241,TRUE
36,1660626620.721,2953,-1123,882,4.813,0.038,0.025,90.7,yellow,241,TRUE
37,1660626620.931,2349,1784,750,4.393,-1.388,-0.213,91.7,red,241,TRUE
38,1660626622.256,2942,-1115,882,4.813,0.038,0.025,91.0,yellow,241,TRUE
39,1660626622.441,2362,1797,750,4.418,-1.407,-0.219,85.7,red,241,TRUE
40,1660626623.808,2937,-1110,882,4.813,0.038,0.025,90.1,yellow,241,TRUE
41,1660626626.407,2931,-1102,882,4.813,0.038,0.025,89.8,yellow,241,TRUE
42,1660626626.595,2406,1836,750,4.417,-1.4,-0.216,83.9,red,241,TRUE
43,1660626628.069,2918,-1088,882,4.813,0.038,0.025,91.3,yellow,241,TRUE
44,1660626628.662,2929,-1102,882,4.813,0.038,0.025,88.5,yellow,241,TRUE
45,1660626628.843,2424,1870,750,4.406,-1.405,-0.228,87.6,red,241,TRUE
46,1660626629.142,2922,-1090,882,4.813,0.038,0.025,89.4,yellow,241,TRUE
47,1660626629.323,2419,1857,750,4.409,-1.407,-0.209,89.6,red,241,TRUE
48,1660626629.639,2935,-1097,882,4.813,0.038,0.025,89.9,yellow,241,TRUE
49,1660626629.821,2424,1862,750,4.409,-1.41,-0.209,88.0,red,241,TRUE
50,1660626630.213,2945,-1110,882,4.813,0.038,0.025,88.2,yellow,241,TRUE
51,1660626630.42,2381,1816,750,4.468,-1.415,-0.183,90.7,red,241,TRUE
52,1660626630.693,2946,-1113,882,4.813,0.038,0.025,89.3,yellow,241,TRUE
53,1660626630.874,2382,1828,750,4.471,-1.409,-0.173,88.9,red,241,TRUE
54,1660626631.13,2946,-1115,882,4.813,0.038,0.025,89.4,yellow,241,TRUE
55,1660626631.337,2366,1823,750,4.479,-1.41,-0.22,91.2,red,241,TRUE
56,1660626631.746,2943,-1105,882,4.813,0.038,0.025,91.3,yellow,241,TRUE
57,1660626631.929,2370,1842,750,4.468,-1.404,-0.247,88.0,red,241,TRUE
58,1660626632.213,2874,-1040,882,4.813,0.038,0.025,92.9,yellow,241,TRUE
59,1660626632.425,2331,1784,750,4.459,-1.402,-0.219,92.9,red,241,TRUE
60,1660626632.699,2886,-1054,882,4.813,0.038,0.025,88.2,yellow,241,TRUE
61,1660626632.883,2316,1772,750,4.458,-1.408,-0.271,88.1,red,241,TRUE
62,1660626633.061,2483,-1166,2526,4.829,-0.049,-0.099,92.3,green,241,TRUE
63,1660626633.336,2886,-1056,882,4.813,0.038,0.025,88.0,yellow,241,TRUE
64,1660626633.53,2304,1765,750,4.478,-1.401,-0.317,91.7,red,241,TRUE
65,1660626634.957,2905,-1071,882,4.813,0.038,0.025,97.0,yellow,241,TRUE
66,1660626635.143,2295,1762,750,4.513,-1.407,-0.243,90.1,red,241,TRUE
67,1660626635.292,2526,-1163,2526,4.829,-0.049,-0.099,90.6,green,241,TRUE
68,1660626635.551,2908,-1074,882,4.813,0.038,0.025,91.2,yellow,241,TRUE
69,1660626635.733,2289,1753,750,4.533,-1.416,-0.279,89.3,red,241,TRUE
70,1660626637.116,2896,-1058,882,4.813,0.038,0.025,94.0,yellow,241,TRUE
71,1660626637.302,2283,1751,750,4.509,-1.422,-0.405,89.6,red,241,TRUE
72,1660626638.804,2897,-1053,882,4.813,0.038,0.025,94.7,yellow,241,TRUE
73,1660626638.991,2281,1756,750,4.528,-1.421,-0.243,89.6,red,241,TRUE
74,1660626640.475,2893,-1049,882,4.813,0.038,0.025,85.1,yellow,241,TRUE
75,1660626640.65,2277,1756,750,4.53,-1.434,-0.236,90.7,red,241,TRUE
76,1660626642.414,2292,1785,750,4.465,-1.415,-0.201,91.5,red,241,TRUE
77,1660626642.565,2535,-1168,2526,4.829,-0.049,-0.099,108.8,green,241,TRUE
78,1660626642.855,2893,-1013,882,4.813,0.038,0.025,90.0,yellow,241,TRUE
79,1660626643.035,2290,1792,750,4.458,-1.419,-0.26,90.7,red,241,TRUE
