,timestamp,x,y,z,yaw,roll,pitch,latency,student,session,success
0,1660713177.36,3750,-2725,882,5.229,-1.407,-0.473,86.8,yellow,247,TRUE
1,1660713177.538,2437,5829,750,4.672,-1.358,2.032,88.8,red,247,TRUE
2,1660713177.627,2695,7005,3348,3.567,-1.362,-2.822,88.8,blue,247,TRUE
3,1660713177.716,2854,-2638,2526,5.348,-0.846,-0.075,89.8,green,247,TRUE
4,1660713178.106,3758,-2725,882,5.224,-1.403,-0.473,88.8,yellow,247,TRUE
5,1660713178.289,2384,6145,750,4.684,-1.379,1.774,85.8,red,247,TRUE
6,1660713178.376,2659,7135,3348,3.554,-1.361,-2.811,88.7,blue,247,TRUE
7,1660713178.478,2864,-2642,2526,5.348,-0.841,-0.082,90.6,green,247,TRUE
8,1660713178.899,3758,-2723,882,5.225,-1.4,-0.451,88.8,yellow,247,TRUE
9,1660713179.078,2352,6391,750,4.664,-1.393,1.683,88.8,red,247,TRUE
10,1660713179.168,2640,7222,3348,3.552,-1.359,-2.813,89.8,blue,247,TRUE
11,1660713179.26,2862,-2657,2526,5.347,-0.844,-0.08,86.8,green,247,TRUE
12,1660713179.647,3775,-2717,882,5.226,-1.403,-0.459,88.8,yellow,247,TRUE
13,1660713179.828,2342,6533,750,4.676,-1.382,1.896,87.6,red,247,TRUE
14,1660713179.917,2608,7251,3348,3.55,-1.358,-2.814,88.7,blue,247,TRUE
15,1660713180.02,2864,-2654,2526,5.346,-0.85,-0.08,90.8,green,247,TRUE
16,1660713180.428,3788,-2732,882,5.225,-1.402,-0.468,86.8,yellow,247,TRUE
17,1660713180.605,2320,6597,750,4.669,-1.39,1.829,88.8,red,247,TRUE
18,1660713180.695,2616,7234,3348,3.516,-1.354,-2.819,89.8,blue,247,TRUE
19,1660713180.785,2875,-2661,2526,5.346,-0.857,-0.081,88.8,green,247,TRUE
20,1660713181.174,3780,-2725,882,5.225,-1.397,-0.461,89.8,yellow,247,TRUE
21,1660713181.354,2321,6649,750,4.66,-1.392,1.809,88.0,red,247,TRUE
22,1660713181.443,2614,7231,3348,3.507,-1.354,-2.827,88.7,blue,247,TRUE
23,1660713181.546,2880,-2673,2526,5.345,-0.856,-0.079,91.8,green,247,TRUE
24,1660713181.952,3776,-2719,882,5.224,-1.41,-0.502,88.8,yellow,247,TRUE
25,1660713182.131,2314,6645,750,4.65,-1.396,1.789,88.8,red,247,TRUE
26,1660713182.221,2614,7226,3348,3.49,-1.354,-2.827,89.0,blue,247,TRUE
27,1660713182.313,2894,-2675,2526,5.344,-0.855,-0.079,86.8,green,247,TRUE
28,1660713182.7,3774,-2717,882,5.224,-1.409,-0.502,88.7,yellow,247,TRUE
29,1660713182.882,2310,6657,750,4.649,-1.395,1.762,86.7,red,247,TRUE
30,1660713182.969,2595,7245,3348,3.479,-1.355,-2.825,88.8,blue,247,TRUE
31,1660713183.072,2902,-2681,2526,5.344,-0.855,-0.08,90.7,green,247,TRUE
32,1660713183.48,3777,-2719,882,5.226,-1.408,-0.506,86.8,yellow,247,TRUE
33,1660713183.658,2352,6708,750,4.649,-1.406,1.75,88.8,red,247,TRUE
34,1660713183.747,2597,7245,3348,3.475,-1.357,-2.823,88.6,blue,247,TRUE
35,1660713183.837,2911,-2674,2526,5.344,-0.851,-0.08,88.8,green,247,TRUE
36,1660713184.226,3776,-2729,882,5.226,-1.41,-0.514,88.8,yellow,247,TRUE
37,1660713184.407,2304,6674,750,4.651,-1.407,1.672,86.8,red,247,TRUE
38,1660713184.495,2628,7175,3348,3.475,-1.356,-2.825,88.8,blue,247,TRUE
39,1660713184.598,2909,-2674,2526,5.347,-0.848,-0.072,90.8,green,247,TRUE
40,1660713185.004,3768,-2718,882,5.229,-1.417,-0.512,89.7,yellow,247,TRUE
41,1660713185.183,2308,6735,750,4.652,-1.405,1.691,89.8,red,247,TRUE
42,1660713185.275,2640,7159,3348,3.471,-1.373,-2.803,86.8,blue,247,TRUE
43,1660713185.363,2899,-2674,2526,5.347,-0.848,-0.074,88.8,green,247,TRUE
44,1660713185.752,3750,-2737,882,5.231,-1.414,-0.513,88.8,yellow,247,TRUE
45,1660713185.932,2341,6713,750,4.638,-1.415,1.705,72.8,red,247,TRUE
46,1660713186.006,2664,7170,3348,3.483,-1.379,-2.742,89.8,blue,247,TRUE
47,1660713186.096,2896,-2675,2526,5.349,-0.86,-0.074,88.8,green,247,TRUE
48,1660713186.47,3777,-2748,882,5.231,-1.413,-0.509,88.8,yellow,247,TRUE
49,1660713186.649,2341,6690,750,4.61,-1.421,1.884,73.8,red,247,TRUE
50,1660713186.737,2656,7158,3348,3.483,-1.467,-3.097,90.7,blue,247,TRUE
51,1660713186.829,2897,-2669,2526,5.348,-0.848,-0.07,88.8,green,247,TRUE
52,1660713187.218,3790,-2763,882,5.231,-1.409,-0.495,88.8,yellow,247,TRUE
53,1660713187.397,2392,6654,750,4.592,-1.434,1.774,73.8,red,247,TRUE
54,1660713187.474,2656,7120,3348,3.376,-1.491,-3.095,86.8,blue,247,TRUE
55,1660713187.562,2894,-2669,2526,5.351,-0.857,-0.071,88.7,green,247,TRUE
56,1660713187.966,3792,-2765,882,5.231,-1.408,-0.492,88.8,yellow,247,TRUE
57,1660713188.145,2411,6670,750,4.603,-1.43,1.694,88.7,red,247,TRUE
58,1660713188.234,2659,7110,3348,3.458,-1.493,-3.133,89.8,blue,247,TRUE
59,1660713188.327,2896,-2669,2526,5.351,-0.864,-0.073,71.8,green,247,TRUE
60,1660713188.699,3779,-2769,882,5.232,-1.406,-0.485,89.8,yellow,247,TRUE
61,1660713188.878,2419,6689,750,4.598,-1.43,1.693,88.8,red,247,TRUE
62,1660713188.97,2661,7106,3348,3.427,-1.484,-3.131,86.8,blue,247,TRUE
63,1660713189.058,2904,-2665,2526,5.351,-0.856,-0.072,88.8,green,247,TRUE
64,1660713189.449,3762,-2751,882,5.227,-1.4,-0.485,86.9,yellow,247,TRUE
65,1660713189.626,2439,6699,750,4.601,-1.425,1.727,88.8,red,247,TRUE
66,1660713189.729,2668,7096,3348,3.362,-1.476,-3.122,90.7,blue,247,TRUE
67,1660713189.821,2902,-2666,2526,5.352,-0.861,-0.062,88.8,green,247,TRUE
68,1660713190.225,3779,-2754,882,5.227,-1.394,-0.471,89.8,yellow,247,TRUE
69,1660713190.404,2433,6652,750,4.604,-1.419,1.757,73.8,red,247,TRUE
70,1660713190.481,2667,7080,3348,3.328,-1.479,-3.125,86.8,blue,247,TRUE
71,1660713190.569,2897,-2654,2526,5.352,-0.854,-0.061,88.8,green,247,TRUE
72,1660713190.973,3792,-2756,882,5.226,-1.393,-0.475,88.8,yellow,247,TRUE
73,1660713191.152,2436,6640,750,4.59,-1.43,1.728,88.8,red,247,TRUE
74,1660713191.242,2663,7068,3348,3.19,-1.476,-3.123,89.8,blue,247,TRUE
75,1660713191.333,2904,-2650,2526,5.354,-0.866,-0.06,86.8,green,247,TRUE
76,1660713191.72,3783,-2753,882,5.233,-1.391,-0.453,89.4,yellow,247,TRUE
77,1660713191.915,2442,6624,750,4.596,-1.424,1.766,88.8,red,247,TRUE
78,1660713192.005,2682,7076,3348,3.037,-1.456,-3.113,88.8,blue,247,TRUE
79,1660713192.096,2910,-2647,2526,5.354,-0.872,-0.061,87.6,green,247,TRUE
80,1660713192.501,3803,-2760,882,5.231,-1.382,-0.441,86.8,yellow,247,TRUE
81,1660713192.679,2387,6535,750,4.591,-1.428,1.71,73.8,red,247,TRUE
82,1660713192.766,2701,7095,3348,2.952,-1.458,-3.099,91.8,blue,247,TRUE
83,1660713192.858,2917,-2647,2526,5.354,-0.874,-0.06,88.8,green,247,TRUE
84,1660713193.247,3783,-2748,882,5.233,-1.388,-0.448,88.8,yellow,247,TRUE
85,1660713193.427,2382,6602,750,4.589,-1.428,1.662,88.8,red,247,TRUE
86,1660713193.516,2706,7101,3348,2.885,-1.456,-3.094,88.8,blue,247,TRUE
87,1660713193.608,2938,-2648,2526,5.354,-0.872,-0.06,86.8,green,247,TRUE
88,1660713193.996,3786,-2761,882,5.229,-1.386,-0.457,88.8,yellow,247,TRUE
89,1660713194.175,2281,6550,750,4.681,-1.396,1.825,88.7,red,247,TRUE
90,1660713194.265,2712,7121,3348,2.853,-1.458,-3.094,88.8,blue,247,TRUE
91,1660713194.356,2957,-2649,2526,5.357,-0.868,-0.064,87.7,green,247,TRUE
92,1660713195.896,2274,6574,750,4.683,-1.361,1.74,89.1,red,247,TRUE
93,1660713195.991,2712,7113,3348,2.901,-1.473,-3.11,83.8,blue,247,TRUE
94,1660713196.076,2970,-2651,2526,5.359,-0.858,-0.067,88.2,green,247,TRUE
95,1660713196.451,3781,-2751,882,5.233,-1.395,-0.488,87.7,yellow,247,TRUE
96,1660713196.631,2249,6605,750,4.674,-1.388,1.589,86.6,red,247,TRUE
97,1660713196.719,2707,7105,3348,3.167,-1.486,3.134,88.8,blue,247,TRUE
98,1660713196.822,2977,-2656,2526,5.365,-0.86,-0.051,90.8,green,247,TRUE
99,1660713197.228,3764,-2740,882,5.234,-1.396,-0.49,88.7,yellow,247,TRUE
100,1660713197.407,2227,6686,750,4.635,-1.4,1.749,89.0,red,247,TRUE
101,1660713197.497,2690,7142,3348,3.252,-1.497,3.138,88.9,blue,247,TRUE
102,1660713197.587,2981,-2646,2526,5.366,-0.857,-0.05,89.1,green,247,TRUE
103,1660713197.977,3742,-2728,882,5.233,-1.39,-0.473,88.8,yellow,247,TRUE
104,1660713198.158,2211,6678,750,4.625,-1.406,1.745,87.8,red,247,TRUE
105,1660713198.247,2662,7128,3348,3.298,-1.499,3.133,88.8,blue,247,TRUE
106,1660713198.337,2974,-2645,2526,5.368,-0.874,-0.052,72.8,green,247,TRUE
107,1660713198.696,3736,-2725,882,5.233,-1.377,-0.447,88.7,yellow,247,TRUE
108,1660713198.875,2209,6693,750,4.652,-1.42,1.6,88.4,red,247,TRUE
109,1660713198.965,2646,7110,3348,3.318,-1.497,3.13,88.8,blue,247,TRUE
110,1660713199.054,2972,-2650,2526,5.367,-0.873,-0.045,88.7,green,247,TRUE
111,1660713199.445,3751,-2721,882,5.236,-1.372,-0.429,87.8,yellow,247,TRUE
112,1660713199.624,2185,6674,750,4.633,-1.412,1.608,88.8,red,247,TRUE
113,1660713199.715,2640,7100,3348,3.341,-1.497,3.13,87.8,blue,247,TRUE
114,1660713199.804,2975,-2644,2526,5.373,-0.865,-0.045,88.8,green,247,TRUE
115,1660713200.193,3750,-2721,882,5.235,-1.378,-0.444,88.8,yellow,247,TRUE
116,1660713200.375,2175,6706,750,4.477,-1.384,2.186,86.8,red,247,TRUE
117,1660713200.462,2643,7134,3348,3.337,-1.499,3.131,88.8,blue,247,TRUE
