,timestamp,x,y,z,yaw,roll,pitch,latency,student,session,success
0,1660605076.847,340,-720,3350,5.114,-1.332,0.856,93.8,blue,237,TRUE
1,1660605078.098,3464,-2838,882,1.325,1.264,-0.61,78.1,yellow,237,TRUE
2,1660605078.176,692,-1803,750,1.242,0.912,2.691,93.7,red,237,TRUE
3,1660605079.537,400,-519,3350,3.479,-1.436,0.515,78.2,blue,237,TRUE
4,1660605081.883,721,-1499,750,1.604,0.683,2.857,93.8,red,237,TRUE
5,1660605083.4,2998,-2822,2526,4.921,-0.901,-0.204,78.1,green,237,TRUE
6,1660605084.572,925,-1050,750,2.258,0.916,2.762,93.7,red,237,TRUE
7,1660605087.246,3474,-2835,882,1.333,1.237,-0.56,93.8,yellow,237,TRUE
8,1660605087.34,1126,-509,750,0.325,0.885,2.781,93.7,red,237,TRUE
9,1660605087.763,754,316,3349,6.01,-1.209,0.406,94.9,blue,237,TRUE
10,1660605090.155,1357,16,750,0.278,0.898,2.769,93.7,red,237,TRUE
11,1660605091.562,962,626,3349,4.084,-1.378,0.966,93.8,blue,237,TRUE
12,1660605091.655,2982,-2808,2526,4.912,-0.88,-0.226,94.0,green,237,TRUE
13,1660605091.749,3397,-2808,882,1.213,1.425,-0.777,78.0,yellow,237,TRUE
14,1660605091.827,1566,549,750,0.374,0.909,2.794,93.8,red,237,TRUE
15,1660605093.204,1103,884,3349,4.056,-1.381,0.988,93.7,blue,237,TRUE
16,1660605094.453,3401,-2803,882,1.22,1.368,-0.554,93.6,yellow,237,TRUE
17,1660605094.547,1785,1083,750,0.214,0.942,2.681,93.8,red,237,TRUE
18,1660605094.939,1227,1107,3349,4.034,-1.385,0.975,93.7,blue,237,TRUE
19,1660605097.299,1982,1637,750,0.344,0.904,2.784,93.7,red,237,TRUE
20,1660605097.644,1330,1274,3349,4.046,-1.372,0.923,94.1,blue,237,TRUE
21,1660605099.958,2173,2192,750,0.361,0.905,2.785,93.8,red,237,TRUE
22,1660605100.35,1709,1548,3349,4.04,-1.364,0.852,93.6,blue,237,TRUE
23,1660605102.65,2343,2658,750,0.367,0.909,2.786,93.7,red,237,TRUE
24,1660605103.057,1864,1956,3349,4.032,-1.362,0.836,93.8,blue,237,TRUE
25,1660605103.151,2968,-2787,2526,5.011,-1.081,-0.083,93.4,green,237,TRUE
26,1660605103.26,3420,-2792,882,1.258,1.306,-0.512,93.7,yellow,237,TRUE
