,timestamp,x,y,z,yaw,roll,pitch,latency,student,session,success
0,1660173399.234,1762,-1634,3350,6.129,-1.057,-0.213,96.9,blue,231,TRUE
1,1660173399.331,1814,-2634,750,4.905,-1.432,0.619,93.8,red,231,TRUE
2,1660173399.55,-1165,4620,2526,3.398,0.02,0.022,81.1,green,231,TRUE
3,1660173399.726,1789,-1623,3350,5.428,-1.06,-0.199,94.0,blue,231,TRUE
4,1660173400.989,-1236,4236,882,5.145,0.055,-0.012,94.6,yellow,231,TRUE
5,1660173401.084,-1154,4633,2526,3.398,0.02,0.022,93.0,green,231,TRUE
6,1660173401.349,1711,-1625,3350,5.366,-1.09,-0.149,107.8,blue,231,TRUE
7,1660173401.456,1814,-2634,750,5.161,-1.417,1.045,94.0,red,231,TRUE
8,1660173401.55,-1237,4236,882,5.145,0.055,-0.012,77.9,yellow,231,TRUE
9,1660173401.628,-1151,4635,2526,3.398,0.02,0.022,98.4,green,231,TRUE
10,1660173401.832,1627,-1611,3350,4.584,-1.049,-0.207,78.1,blue,231,TRUE
11,1660173401.925,1784,-2631,750,5.251,-1.46,0.036,78.4,red,231,TRUE
12,1660173402.019,-1238,4236,882,5.145,0.055,-0.012,82.5,yellow,231,TRUE
13,1660173402.101,-1144,4636,2526,3.398,0.02,0.022,77.8,green,231,TRUE
14,1660173402.288,1559,-1597,3350,4.418,-1.096,-0.185,86.5,blue,231,TRUE
15,1660173402.375,1783,-2602,750,5.367,-1.424,0.071,93.8,red,231,TRUE
16,1660173402.484,-1242,4237,882,5.145,0.055,-0.012,94.1,yellow,231,TRUE
17,1660173402.578,-1155,4617,2526,3.398,0.02,0.022,96.5,green,231,TRUE
18,1660173402.832,1469,-1545,3350,5.336,-1.22,-0.608,97.8,blue,231,TRUE
19,1660173402.94,1741,-2505,750,5.527,-1.416,0.779,86.3,red,231,TRUE
20,1660173403.042,-1244,4236,882,5.145,0.055,-0.012,93.7,yellow,231,TRUE
21,1660173403.136,-1159,4609,2526,3.398,0.02,0.022,99.6,green,231,TRUE
22,1660173403.329,1436,-1451,3350,5.82,-1.148,-0.221,93.6,blue,231,TRUE
23,1660173403.438,1705,-2386,750,5.439,-1.412,0.504,96.5,red,231,TRUE
24,1660173403.535,-1246,4235,882,5.145,0.055,-0.012,82.0,yellow,231,TRUE
25,1660173403.617,-1157,4607,2526,3.398,0.02,0.022,93.7,green,231,TRUE
26,1660173403.803,1425,-1313,3350,5.645,-1.076,-0.193,96.1,blue,231,TRUE
27,1660173403.915,1652,-2249,750,5.409,-1.432,-0.135,94.0,red,231,TRUE
28,1660173404.025,-1246,4235,882,5.145,0.055,-0.012,77.9,yellow,231,TRUE
29,1660173404.102,-1155,4614,2526,3.398,0.02,0.022,83.6,green,231,TRUE
30,1660173404.457,1603,-2085,750,5.498,-1.406,0.11,85.4,red,231,TRUE
31,1660173404.558,-1242,4236,882,5.145,0.055,-0.012,78.2,yellow,231,TRUE
32,1660173404.637,-1163,4611,2526,3.398,0.02,0.022,93.4,green,231,TRUE
33,1660173404.831,1459,-930,3350,3.947,-1.104,-0.135,97.2,blue,231,TRUE
34,1660173404.944,1568,-1884,750,5.813,-1.388,0.103,93.6,red,231,TRUE
